"Parent","Name","CashValue","BossRace","IsMarkerRace"
"p2p","race_bin_06/6_2_2_p2p","12000","false","false"
"p2p","race_bin_06/6_2_3_sprint","12000","false","false"
"lapknockout","race_bin_06/6_3_1_lap_ko","12000","false","false"
"tollboothrace","race_bin_06/6_4_1_tollbooth","12000","false","false"
"tollboothrace","race_bin_06/6_4_2_tollbooth","12000","false","false"
"speedtraprace","race_bin_06/6_5_1_speedtraprace","12000","false","false"
"speedtraprace","race_bin_06/6_5_3_speedtrap","12000","false","false"
"tollboothrace","race_bin_06/7_4_1_r_tollbooth","12000","false","false"
"drag","race_bin_10/10_7_3_drag","12000","true","true"
"circuit","race_bin_05/5_1_1_circuit","14000","false","false"
"p2p","race_bin_05/5_2_1_sprint","14000","false","false"
"p2p","race_bin_05/5_2_3_sprint","14000","false","false"
"lapknockout","race_bin_05/5_3_1_lap_ko","14000","false","false"
"tollboothrace","race_bin_05/5_4_1_tollbooth","14000","false","false"
"speedtraprace","race_bin_05/5_5_1_speedtrap","14000","false","false"
"speedtraprace","race_bin_05/5_5_2_speedtrap","14000","false","false"
"speedtraprace","race_bin_05/5_5_3_speedtrap","14000","false","false"
"tollboothrace","race_bin_05/6_4_1_r_tollbooth","14000","false","false"
"tollboothrace","race_bin_05/7_4_2_r_tollbooth","14000","false","false"
"circuit","race_bin_04/4_1_1_circuit","16000","false","false"
"lapknockout","race_bin_04/4_3_1_lapknockout","16000","false","false"
"tollboothrace","race_bin_04/4_4_1_tollbooth","16000","false","false"
"speedtraprace","race_bin_04/4_5_1_speedtrap","16000","false","false"
"speedtraprace","race_bin_04/4_5_3_speedtrap","16000","false","false"
"tollboothrace","race_bin_04/5_4_1_r_tollbooth","16000","false","false"
"speedtraprace","race_bin_04/5_5_2_r_speedtrap","16000","false","false"
"lapknockout","race_bin_04/6_3_1_r_knockout","16000","false","false"
"p2p","race_bin_04/7_2_2_r_sprint","16000","false","false"
"tollboothrace","race_bin_04/7_4_3_r_tollbooth","16000","false","false"
"circuit","race_bin_04/9_1_1_r_circuit","16000","false","false"
"p2p","race_bin_09/9_2_1_sprint","16000","true","true"
"circuit","race_bin_03/3_1_1_circuit","18000","false","false"
"p2p","race_bin_03/3_2_1_sprint","18000","false","false"
"lapknockout","race_bin_03/3_3_1_lap_ko","18000","false","false"
"tollboothrace","race_bin_03/3_4_1_r_tollbooth","18000","false","false"
"tollboothrace","race_bin_03/3_4_1_tollbooth","18000","false","false"
"speedtraprace","race_bin_03/3_5_1_speedtrap","18000","false","false"
"speedtraprace","race_bin_03/3_5_2_speedtrap","18000","false","false"
"p2p","race_bin_03/4_2_1_r_sprint_race","18000","false","false"
"lapknockout","race_bin_03/4_3_1_r_knockout","18000","false","false"
"tollboothrace","race_bin_03/4_4_1_r_tollbooth","18000","false","false"
"p2p","race_bin_03/7_2_1_r_sprint","18000","false","false"
"circuit","race_bin_02/2_1_1_circuit","20000","false","false"
"circuit","race_bin_02/2_1_1_r_circuit","20000","false","false"
"tollboothrace","race_bin_02/2_4_1_tollbooth","20000","false","false"
"tollboothrace","race_bin_02/2_4_2_tollbooth","20000","false","false"
"tollboothrace","race_bin_02/2_4_3_tollbooth","20000","false","false"
"speedtraprace","race_bin_02/2_5_1_speedtrap","20000","false","false"
"p2p","race_bin_02/3_2_1_r_sprint","20000","false","false"
"lapknockout","race_bin_02/3_3_1_r_knockout","20000","false","false"
"lapknockout","race_bin_02/3_3_2_r_knockout","20000","false","false"
"circuit","race_bin_02/5_1_1_r_Circuit","20000","false","false"
"speedtraprace","race_bin_02/5_5_1_r_speedtrap","20000","false","false"
"drag","race_bin_08/8_7_5_drag","20000","true","true"
"p2p","race_bin_07/7_2_3_p2p","24000","true","true"
"circuit","race_bin_01/1_1_1_circuit","25000","false","false"
"p2p","race_bin_01/1_2_1_sprint","25000","false","false"
"p2p","race_bin_01/1_2_2_sprint","25000","false","false"
"p2p","race_bin_01/1_2_4_sprint","25000","false","false"
"lapknockout","race_bin_01/1_3_1_lapknockout","25000","false","false"
"tollboothrace","race_bin_01/1_4_1_tollbooth","25000","false","false"
"tollboothrace","race_bin_01/1_4_2_tollbooth","25000","false","false"
"speedtraprace","race_bin_01/1_5_1_speedtraprace","25000","false","false"
"speedtraprace","race_bin_01/1_5_3_speedtrap","25000","false","false"
"p2p","race_bin_01/2_2_1_r_sprint","25000","false","false"
"tollboothrace","race_bin_01/2_4_3_r_tollbooth","25000","false","false"
"speedtraprace","race_bin_06/6_5_2_speedtraprace","28000","true","true"
"p2p","race_bin_05/5_2_1_r_sprint","48000","true","true"
"speedtraprace","race_bin_04/4_5_1_r_speedtrap","54000","true","true"
"circuit","race_bin_03/3_1_2_circuit","60000","true","true"
"p2p","race_bin_02/2_2_1_sprint","75000","true","true"
"challengerace","race_bin_01/epic_pursuit","200000","true","false"
