"Name","BossRace","IsMarkerRace","CashVanilla","CashNew"
"race_bin_04/4_5_1_speedtrap","false","false","16000","22500"
"race_bin_04/4_5_3_speedtrap","false","false","16000","22500"
"race_bin_04/5_4_1_r_tollbooth","false","false","16000","22500"
"race_bin_04/5_5_2_r_speedtrap","false","false","16000","22500"
"race_bin_04/6_3_1_r_knockout","false","false","16000","22500"
"race_bin_04/7_2_2_r_sprint","false","false","16000","22500"
"race_bin_04/7_4_3_r_tollbooth","false","false","16000","22500"
"race_bin_04/9_1_1_r_circuit","false","false","16000","22500"
"race_bin_09/9_2_1_sprint","true","true","16000","22500"
"race_bin_03/3_1_1_circuit","false","false","18000","25000"
"race_bin_03/3_2_1_sprint","false","false","18000","25000"
"race_bin_03/3_3_1_lap_ko","false","false","18000","25000"
"race_bin_03/3_4_1_r_tollbooth","false","false","18000","25000"
"race_bin_03/3_4_1_tollbooth","false","false","18000","25000"
"race_bin_03/3_5_1_speedtrap","false","false","18000","25000"
"race_bin_03/3_5_2_speedtrap","false","false","18000","25000"
"race_bin_03/4_2_1_r_sprint_race","false","false","18000","25000"
"race_bin_03/4_3_1_r_knockout","false","false","18000","25000"
"race_bin_03/4_4_1_r_tollbooth","false","false","18000","25000"
"race_bin_03/7_2_1_r_sprint","false","false","18000","25000"
"race_bin_02/2_1_1_circuit","false","false","20000","28000"
"race_bin_02/2_1_1_r_circuit","false","false","20000","28000"
"race_bin_02/2_4_1_tollbooth","false","false","20000","28000"
"race_bin_02/2_4_2_tollbooth","false","false","20000","28000"
"race_bin_02/2_4_3_tollbooth","false","false","20000","28000"
"race_bin_02/2_5_1_speedtrap","false","false","20000","28000"
"race_bin_02/3_2_1_r_sprint","false","false","20000","28000"
"race_bin_02/3_3_1_r_knockout","false","false","20000","28000"
"race_bin_02/3_3_2_r_knockout","false","false","20000","28000"
"race_bin_02/5_1_1_r_Circuit","false","false","20000","28000"
"race_bin_02/5_5_1_r_speedtrap","false","false","20000","28000"
"race_bin_08/8_7_5_drag","true","true","20000","28000"
"race_bin_07/7_2_3_p2p","true","true","24000","33500"
"race_bin_01/1_1_1_circuit","false","false","25000","35000"
"race_bin_01/1_2_1_sprint","false","false","25000","35000"
"race_bin_01/1_2_2_sprint","false","false","25000","35000"
"race_bin_01/1_2_4_sprint","false","false","25000","35000"
"race_bin_01/1_3_1_lapknockout","false","false","25000","35000"
"race_bin_01/1_4_1_tollbooth","false","false","25000","35000"
"race_bin_01/1_4_2_tollbooth","false","false","25000","35000"
"race_bin_01/1_5_1_speedtraprace","false","false","25000","35000"
"race_bin_01/1_5_3_speedtrap","false","false","25000","35000"
"race_bin_01/2_2_1_r_sprint","false","false","25000","35000"
"race_bin_01/2_4_3_r_tollbooth","false","false","25000","35000"
"race_bin_06/6_5_2_speedtraprace","true","true","28000","39000"
"race_bin_05/5_2_1_r_sprint","true","true","48000","67000"
"race_bin_04/4_5_1_r_speedtrap","true","true","54000","75500"
"race_bin_03/3_1_2_circuit","true","true","60000","84000"
"race_bin_02/2_2_1_sprint","true","true","75000","105000"
"race_bin_01/epic_pursuit","true","false","200000","280000"
